ancestor_concept_id	descendant_concept_id	min_levels_of_separation	max_levels_of_separation
4034337	4034337	0	0
4034338	4034338	0	0
4034339	4034339	0	0
4034341	4034341	0	0
4034342	4034342	0	0
4034343	4034343	0	0
4034344	4034344	0	0
4034345	4034345	0	0
4034346	4034346	0	0
4034347	4034347	0	0
4034348	4034348	0	0
4034349	4034349	0	0
4034351	4034351	0	0
4034352	4034352	0	0
4034353	4034353	0	0
4034354	4034354	0	0
4034355	4034355	0	0
4034356	4034356	0	0
4034357	4034357	0	0
4034358	4034358	0	0
4034359	4034359	0	0
4034360	4034360	0	0
4034361	4034361	0	0
4034362	4034362	0	0
4034367	4034367	0	0
4034375	4034375	0	0
4034384	4034384	0	0
4034385	4034385	0	0
4034387	4034387	0	0
4034393	4034393	0	0
4034196	4034196	0	0
4034197	4034197	0	0
4034198	4034198	0	0
4034199	4034199	0	0
4034200	4034200	0	0
4034201	4034201	0	0
4034202	4034202	0	0
4034203	4034203	0	0
4034204	4034204	0	0
4034205	4034205	0	0
4034206	4034206	0	0
4034207	4034207	0	0
4030323	4030323	0	0
4030324	4030324	0	0
4030325	4030325	0	0
4030326	4030326	0	0
4023520	4023520	0	0
4018885	4018885	0	0
4018886	4018886	0	0
4018887	4018887	0	0
4018888	4018888	0	0
4018893	4018893	0	0
4018894	4018894	0	0
4018904	4018904	0	0
4018905	4018905	0	0
4018907	4018907	0	0
4018908	4018908	0	0
4018909	4018909	0	0
4018911	4018911	0	0
4018912	4018912	0	0
4018913	4018913	0	0
4018914	4018914	0	0
4018915	4018915	0	0
4018916	4018916	0	0
4018917	4018917	0	0
4018918	4018918	0	0
4018919	4018919	0	0
4024410	4024410	0	0
4024411	4024411	0	0
4024412	4024412	0	0
4024414	4024414	0	0
4024415	4024415	0	0
4024416	4024416	0	0
4024417	4024417	0	0
4024418	4024418	0	0
4024420	4024420	0	0
4024421	4024421	0	0
4024422	4024422	0	0
4024423	4024423	0	0
4024424	4024424	0	0
4024425	4024425	0	0
4019624	4019624	0	0
4019625	4019625	0	0
4019628	4019628	0	0
4019629	4019629	0	0
4019688	4019688	0	0
4019731	4019731	0	0
4019734	4019734	0	0
4019736	4019736	0	0
4019737	4019737	0	0
4019739	4019739	0	0
4019743	4019743	0	0
4019744	4019744	0	0
4019745	4019745	0	0
4019746	4019746	0	0
4019747	4019747	0	0
4019750	4019750	0	0
4019738	4019738	0	0
4019752	4019752	0	0
4019753	4019753	0	0
4019755	4019755	0	0
4019756	4019756	0	0
4019757	4019757	0	0
4019758	4019758	0	0
4019759	4019759	0	0
4019760	4019760	0	0
4019761	4019761	0	0
4019762	4019762	0	0
4019505	4019505	0	0
4019506	4019506	0	0
4019507	4019507	0	0
4019510	4019510	0	0
