concept_id_1	concept_id_2	relationship_id	valid_start_date	valid_end_date	invalid_reason
4296208	4219601	Has finding site	20110731	20991231	
4296081	4196052	Has dir proc site	20110731	20991231	
4077882	4099912	Has finding site	20110731	20991231	
4203420	4085258	Using device	20110731	20991231	
4068770	4091162	Has dir proc site	20110731	20991231	
4140511	4087563	Has part of	20110731	20991231	
4043382	4190388	Has asso morph	20110731	20991231	
4143396	4279903	Has specimen proc	20110731	20991231	
4319020	4042536	Has finding site	20110731	20991231	
4188595	4159624	Has causative agent	20110731	20991231	
4200562	4193626	Has asso morph	20110731	20991231	
4246230	4273781	Has finding site	20110731	20991231	
4066765	4137392	Has dir proc site	20110731	20991231	
4294522	4353265	Has part of	20110731	20991231	
4084232	4352780	Has part of	20110731	20991231	
4326027	4132506	Has temporal context	20110731	20991231	
4096568	4088327	Has finding site	20110731	20991231	
4266185	4236790	Has part of	20110731	20991231	
4325535	4022675	Has dir subst	20110731	20991231	
4244485	4116830	Has occurrence	20110731	20991231	
4074027	4045069	Has method	20110731	20991231	
4124036	4046957	Has indir proc site	20110731	20991231	
4258559	4029967	Has dir morph	20110731	20991231	
40485325	4321375	Has dir proc site	20110731	20991231	
4239349	193871	Has focus	20110731	20991231	
4103097	4198675	Has causative agent	20110731	20991231	
4060335	4325458	Has finding site	20110731	20991231	
136755	4321375	Has finding site	20110731	20991231	
4044410	4043394	Has part of	20110731	20991231	
4169003	4179487	Has indir proc site	20110731	20991231	
4134680	4306886	Has active ing	20110731	20991231	
136960	443784	Has due to	20110731	20991231	
4032357	4306891	Has causative agent	20110731	20991231	
4251579	4321272	Has asso morph	20110731	20991231	
4297999	4281994	Has dir device	20110731	20991231	
4110529	4112039	Has part of	20110731	20991231	
4061363	4331182	Has asso morph	20110731	20991231	
4003024	4268158	Has asso morph	20110731	20991231	
40490449	4282600	Has asso morph	20110731	20991231	
4012579	4132866	Has finding site	20110731	20991231	
4189098	4212265	Has active ing	20110731	20991231	
4122268	4169265	Has specimen source	20110731	20991231	
4091218	4079377	Has interpretation	20110731	20991231	
4153305	4221994	Using finding method	20110731	20991231	
4121792	40480911	Has pathology	20110731	20991231	
4173810	4242421	Has finding site	20110731	20991231	
4069366	4045049	Has method	20110731	20991231	
4335469	4312527	Has method	20110731	20991231	
4185163	4253786	Has dir proc site	20110731	20991231	
4299711	4188397	Has active ing	20110731	20991231	
135194	4071676	Has asso morph	20110731	20991231	
40484980	4043866	Has method	20110731	20991231	
4312424	4054438	Has interprets	20110731	20991231	
4087694	4118107	Has part of	20110731	20991231	
4277606	4044517	Has method	20110731	20991231	
4296079	4166063	Has dir proc site	20110731	20991231	
4228296	4053606	Has asso morph	20110731	20991231	
4015615	4044176	Has method	20110731	20991231	
4250767	4236661	Has clinical course	20110731	20991231	
4142121	4217142	Has finding site	20110731	20991231	
4308118	4237567	Has part of	20110731	20991231	
4174376	4274025	Has due to	20110731	20991231	
4160097	4189438	Has causative agent	20110731	20991231	
4283288	4278156	Has part of	20110731	20991231	
